"ID","UniqueId","Nickname","Verified","Title","Description","IsCommerce","HashtagName","HeartCount","VideoCount","DiggCount","ShareCount","CommentCount","PlayCount","CollectCount","VideoLink"
"7103264826369117446","sammyg8631","Sammy G 🌟","false","Love You So","#johnnydepp #deppheard #justiceforjohnnydepp #crazy #narcissist  #amberheard #captainjacksparrow #duet #xyzbca #fypシ #deppvheard #camillevasquez #fyp","false","johnnydepp","3200000","1016","96","0","1","1496","2","https://www.tiktok.com/@sammyg8631/video/7103264826369117446"
"7149927492533406982","movieadvice","Кіно поради🎬","false","Hotel","Дуже схожі актори, як вважаєте? #фільм #кіно #суд #джоннідепп #емберхерд #щоподивитися #справедливість #зірки #рекомендації #рек #movie #johnnydepp #amberheard #trial #deppheard #film #judge #fyp #fypシ #hottake #deppheardtrial ","false","фільм","128000","159","96","3","1","1565","33","https://www.tiktok.com/@movieadvice/video/7149927492533406982"
"7104365617846914350","illinois.politics","yes","false","som original","#johnnydepp #amberheard#deppheard","false","johnnydepp","134700","790","95","0","4","823","6","https://www.tiktok.com/@illinois.politics/video/7104365617846914350"
"7115164927962287406","sicliandoll2022","Siciliandoll2021","false","original sound","@curlyh#johnnydepp #jd #johnnydeppfans #jhonnydeppcourt #johnnydeppforevefr🥺❤️ #Jd#Johnnydepp#johnnydeppvirginiatrial2022#johnny#johnnydeppcourt##johnnydepcourtcase#johnnydeppisinnocent#johnydepptiktok#johnnydeppforeverlove#jonnydeppamberheardtrial#justiceforjohnnydepp##depphead#deppheads#depptrial#johnnydeppamberheard#justice4johnnydepp#depptok#deppvshear##d#deppheard#justiceforjohnny#loveujohnny#justiceforjohnnydepp🙏#justiceforjohnnydepp❤️#justiceforjohnnydepp🙏❤️#justiceforjohnnydepp💕justi","false","johnnydepp","137900","355","95","0","7","2866","6","https://www.tiktok.com/@sicliandoll2022/video/7115164927962287406"
"7102232139382508805","alkadaya.official","Alkadaya - القضايا","false","son original","محامية جوني ديب تظهر كل أكاذيب آمبر هيرد .. الفيديو كامل بهذا الرابط في القناة ...  https://yt6.pics.ee/429urf    #JohnnyDepp  #AmberHeard  #DeppHeard","false","johnnydepp","100500","228","95","2","0","9541","10","https://www.tiktok.com/@alkadaya.official/video/7102232139382508805"
"7267110350435175712","simba.deppx","simo🎀","false","The Lost Soul Down - TT","#JOHNNYDEPP ~ im kidding (maybe🤭) #johnnydeppisinnocent #johnnydepptiktok #viral #fyp #viral #fyp #viral #fyp #CapCut #like #deppheard #jd #myfav #ilyall #simbadepp ","false","johnnydepp","101400","299","95","8","14","504","25","https://www.tiktok.com/@simba.deppx/video/7267110350435175712"
"7110221688872373550","cosplaykueen","kaos","false","original sound","Prime court readings #luci #lucicosplay #disenchantmentcosplay #demonmakeup #cosplay #disenchantment #lucidisenchantment #fyp #fypシ #demon #deppheard #courtreadings","false","luci","175500","1369","94","0","0","730","4","https://www.tiktok.com/@cosplaykueen/video/7110221688872373550"
"7094462663089999147","101gotyour6","101 Got Your 6🖤💙🖤","false","original sound","#duet with @mrs.wahlberg #amberheard #johnnydepp #deppheard #lmao","false","duet","701800","2180","94","190","14","1833","5","https://www.tiktok.com/@101gotyour6/video/7094462663089999147"
"7126846920386972933","icelebritynews","icelebrity news","false","original sound","Johnny Depp allegedly wanted nude Amber Heard photos submitted to evidence in defamation trial#johnnydeppvsamberheard #deppheard #fyp #defamationtrial","false","johnnydeppvsamberheard","190500","666","92","0","4","3145","3","https://www.tiktok.com/@icelebritynews/video/7126846920386972933"
"7096861149970533678","toniperdikakis","Toni Perdikakis","false","sonido original","Should I go? #deppvheard #deppheard #johnnydepp #johnnydeppamberheard #amberheardjohnnydepp #depptrial #depptrial2022 #captainjacksparrow #depptrialupdates #depptrialhumor #FindYourEdge","false","deppvheard","447200","1009","92","3","6","5080","1","https://www.tiktok.com/@toniperdikakis/video/7096861149970533678"
"7095315242615442694","gandalf.and.django","gandalf.and.django","false","Pirates Of The Caribbean - Main Theme - He's A Pirate","Gandalf has picked a side. Team Johnny or team Heard? 🤔#gandalfthegreycanecorso #canecorso #dogsofttiktok #balkantiktok #justiceforjohnnydepp #deppheard #trial","false","gandalfthegreycanecorso","17800","138","91","0","0","1283","2","https://www.tiktok.com/@gandalf.and.django/video/7095315242615442694"
"7117700308435864838","miastone.rock","Mia Stone","false","son original","The Death & Resurrection Show 🤍🖤🤍 [cover Killing Joke] Jeff Beck & Johnny Depp @Johnny Depp #JohnnyDepp #JeffBeck #killingjoke #TheDeath #Resurrection  #johnnydeppforever #hollywoodvampires #johnnydepptiktok #johnnydeppfansworld #hedylamarr #isolation #deathresurrection #johnnydeppamberheardtrial #iloveyoujohnny #tour #Music #Show #Live #heroes #louisxv #lafavorite #rockstars #rock #disney #deppheard #album18 #song #perfect #life #france🇫🇷 #fyp #foryourpage #CamilleVasquez #beauty #viral","false","johnnydepp","48600","377","90","1","3","720","9","https://www.tiktok.com/@miastone.rock/video/7117700308435864838"
"7102492033348095237","jaimelindsayl","Jaime","false","original sound","Had to jump on this audio, it’s so true though 😂 #johnnydepp #PCMadeMeBuyIt #seint #howispendmymoney #didireadthatright? #deppvheard #johnnydepptiktok #funny #trending #audio #husbandwife #shopaholic #deppvsheard #depptok #depptrial #deppheard #makeuplover #viral #fyp #fypシ #fy #shoppinglover @The Pulse Boutique","false","johnnydepp","9852","300","90","8","20","1697","2","https://www.tiktok.com/@jaimelindsayl/video/7102492033348095237"
"7104662963877006638","justice4sparrow","more than a sparrow to God","false","original sound","#justice4johnny #justice4johnnydepp #johnnydepp #johnnydeppisinnocent  #deppheard #depphead #amberturd #mentoo #metoo","false","justice4johnny","10300","138","89","0","24","998","5","https://www.tiktok.com/@justice4sparrow/video/7104662963877006638"
"7104366995101043974","sammyg8631","Sammy G 🌟","false","Mad at Disney","@Disney #johnnydepp #deppheard #justiceforjohnnydepp #crazy #narcissist  #amberheard #captainjacksparrow #duet #xyzbca #fypシ #deppvheard #camillevasquez #fyp #amber #johnny #HolidayModeActivated #disney","false","johnnydepp","3200000","1016","89","0","5","1313","1","https://www.tiktok.com/@sammyg8631/video/7104366995101043974"
"7093675302257167618","tammyfrank5","Tambo","false","Law & Order - Main Theme","#amberturd  #johnnydepp #rottenborn #deppheard  #deppheardtrial","false","amberturd","467","30","89","1","2","3137","0","https://www.tiktok.com/@tammyfrank5/video/7093675302257167618"
"7098343317112458538","toniperdikakis","Toni Perdikakis","false","Dramatic Music - 3:12","#johnnydepp #depptrial #depptrialupdates #johnnydeppamberheardtrial #deppvsheard #deppheard #deppvheard #istandwithjohnnydepp #istandwithjohnny #justiceforjohnnydepp #justiceforjohnny #foryoupage #foryou #4upage @thetoniperdikakis","false","johnnydepp","447200","1009","89","0","1","2221","0","https://www.tiktok.com/@toniperdikakis/video/7098343317112458538"
